time,timeNum
1.0,130
2.0,852
3.0,2497
4.0,4500
5.0,5996
6.0,6840
7.0,7087
8.0,6724
9.0,5979
10.0,5466
11.0,5049
12.0,4413
13.0,3943
14.0,3457
15.0,3119
16.0,2818
17.0,2556
18.0,2326
19.0,2185
20.0,1902
21.0,1729
22.0,1658
23.0,1513
24.0,1472
25.0,1301
26.0,1236
27.0,1149
28.0,1057
29.0,1087
30.0,923
31.0,697
32.0,565
33.0,493
34.0,464
35.0,442
36.0,385
37.0,407
38.0,371
39.0,334
40.0,319
41.0,319
42.0,264
43.0,280
44.0,283
45.0,242
46.0,250
47.0,234
48.0,220
49.0,211
50.0,205
51.0,207
52.0,201
53.0,189
54.0,185
55.0,180
56.0,169
57.0,176
58.0,207
59.0,166
60.0,142
61.0,103
62.0,83
63.0,59
64.0,72
65.0,67
66.0,75
67.0,70
68.0,77
69.0,58
70.0,59
71.0,76
72.0,72
73.0,45
74.0,78
75.0,46
76.0,36
77.0,59
78.0,35
79.0,47
80.0,41
81.0,53
82.0,43
83.0,35
84.0,46
85.0,44
86.0,36
87.0,46
88.0,39
89.0,37
90.0,42
91.0,33
92.0,22
93.0,17
94.0,13
95.0,25
96.0,16
97.0,26
98.0,21
99.0,21
100.0,11
101.0,21
102.0,13
103.0,16
104.0,18
105.0,14
106.0,19
107.0,13
108.0,18
109.0,15
110.0,16
111.0,14
112.0,5
113.0,12
114.0,14
115.0,10
116.0,12
117.0,10
118.0,13
119.0,9
120.0,10
121.0,8
122.0,8
123.0,11
124.0,2
125.0,6
126.0,8
127.0,7
128.0,8
129.0,7
130.0,5
131.0,7
132.0,7
133.0,10
134.0,7
135.0,5
136.0,2
137.0,6
138.0,7
139.0,8
140.0,8
141.0,5
142.0,3
143.0,7
144.0,10
145.0,9
146.0,7
147.0,4
148.0,4
149.0,8
150.0,6
151.0,4
152.0,8
153.0,3
154.0,3
155.0,2
156.0,10
157.0,1
158.0,4
159.0,2
160.0,6
161.0,1
162.0,4
163.0,2
164.0,3
165.0,4
166.0,1
167.0,6
168.0,2
169.0,2
170.0,2
171.0,2
172.0,2
173.0,1
174.0,1
175.0,3
176.0,3
179.0,2
180.0,2
181.0,3
187.0,2
188.0,1
190.0,1
194.0,3
195.0,1
196.0,2
197.0,1
198.0,2
200.0,1
203.0,1
204.0,1
205.0,2
206.0,1
209.0,2
210.0,1
211.0,1
212.0,1
215.0,1
219.0,1
221.0,1
222.0,1
225.0,2
230.0,2
231.0,1
235.0,2
236.0,1
237.0,1
239.0,1
241.0,1
242.0,1
243.0,1
245.0,1
247.0,1
248.0,1
249.0,1
252.0,2
254.0,1
255.0,2
256.0,3
257.0,1
258.0,1
262.0,1
266.0,1
267.0,2
273.0,1
277.0,2
282.0,2
283.0,1
284.0,1
290.0,1
294.0,1
299.0,2
302.0,1
308.0,1
309.0,1
313.0,1
316.0,1
318.0,2
325.0,1
326.0,1
327.0,1
329.0,1
334.0,1
340.0,1
345.0,1
347.0,1
350.0,2
352.0,2
356.0,2
361.0,1
363.0,1
366.0,2
370.0,1
374.0,1
382.0,1
386.0,1
395.0,1
398.0,1
401.0,1
404.0,1
408.0,1
411.0,1
419.0,1
431.0,1
433.0,1
450.0,1
464.0,1
468.0,1
478.0,1
513.0,1
517.0,1
519.0,1
530.0,1
564.0,1
573.0,1
602.0,1
604.0,2
627.0,1
629.0,1
642.0,1
666.0,1
840.0,1
889.0,1
892.0,1
905.0,1
917.0,1
955.0,1
1053.0,1
1072.0,1
1115.0,1
1227.0,1
1272.0,1
1393.0,1
1511.0,1
1538.0,1
1961.0,1
2479.0,1
2848.0,1
2947.0,1
3662.0,1
4725.0,1
